time_s,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m
0.000000000000000000e+00,-3.499955624728899872e-01,-7.500005689722408775e-01,4.000053337123806729e-01,1.699996202138344681e-01,-5.200006457472091670e-01,3.000056874097237203e-01
1.000000000000000021e-03,-3.499955624728899872e-01,-7.500005689722408775e-01,4.000053337123806729e-01,1.699995281926648949e-01,-5.200006442315021626e-01,3.000055810360325870e-01
2.000000000000000042e-03,-3.499955624329872395e-01,-7.500005689626402239e-01,4.000053337066505899e-01,1.699992096281189857e-01,-5.200006441566109583e-01,3.000051711717769964e-01
3.000000000000000062e-03,-3.499955622745456463e-01,-7.500005689245609064e-01,4.000053336838794715e-01,1.699985306415074671e-01,-5.200006485318351412e-01,3.000042615525254641e-01
4.000000000000000083e-03,-3.499955619213229174e-01,-7.500005688397779480e-01,4.000053336330680054e-01,1.699973579579902305e-01,-5.200006604110872788e-01,3.000026567172054404e-01
5.000000000000000104e-03,-3.499955612992232123e-01,-7.500005686906484614e-01,4.000053335434961554e-01,1.699955492885029118e-01,-5.200006630546806230e-01,3.000001731782602765e-01
6.000000000000000125e-03,-3.499955603360734302e-01,-7.500005684600482558e-01,4.000053334046961284e-01,1.699929507506999782e-01,-5.200006347343515412e-01,2.999966386585770639e-01
7.000000000000000146e-03,-3.499955589614218154e-01,-7.500005681313158812e-01,4.000053332064264500e-01,1.699894092388238853e-01,-5.200005540307875984e-01,2.999918812826032344e-01
8.000000000000000167e-03,-3.499955571063516624e-01,-7.500005676881990047e-01,4.000053329386491496e-01,1.699847723840171854e-01,-5.200003998101386804e-01,2.999857295486217934e-01
9.000000000000001055e-03,-3.499955547033152814e-01,-7.500005671148074482e-01,4.000053325915084446e-01,1.699788885183272091e-01,-5.200001512010524740e-01,2.999780123020595046e-01
1.000000000000000194e-02,-3.499955516859858395e-01,-7.500005663955749968e-01,4.000053321553114216e-01,1.699716066422307936e-01,-5.199997875721671381e-01,2.999685587097440376e-01
1.100000000000000283e-02,-3.499955479891171950e-01,-7.500005655152166550e-01,4.000053316205108844e-01,1.699627763955154636e-01,-5.199992885100038764e-01,2.999571982350219268e-01
1.200000000000000372e-02,-3.499955435484214394e-01,-7.500005644586974496e-01,4.000053309776889221e-01,1.699522480313682415e-01,-5.199986337971947981e-01,2.999437606136684531e-01
1.300000000000000461e-02,-3.499955383004571541e-01,-7.500005632112005660e-01,4.000053302175429759e-01,1.699399607400895740e-01,-5.199978136527175776e-01,2.999281793612648128e-01
1.400000000000000550e-02,-3.499955321825278798e-01,-7.500005617581007034e-01,4.000053293308722946e-01,1.699260649141702828e-01,-5.199968429441851336e-01,2.999106351137355020e-01
1.500000000000000638e-02,-3.499955251325895800e-01,-7.500005600849383169e-01,4.000053283085661104e-01,1.699107104107289434e-01,-5.199957366193275199e-01,2.998913075875744849e-01
1.600000000000000727e-02,-3.499955170891663747e-01,-7.500005581773966368e-01,4.000053271415923706e-01,1.698937473214946758e-01,-5.199944748979985487e-01,2.998700248503097798e-01
1.700000000000000816e-02,-3.499955079912778766e-01,-7.500005560212831268e-01,4.000053258209882445e-01,1.698750263608342359e-01,-5.199930381329866957e-01,2.998466153075081131e-01
1.800000000000000905e-02,-3.499954977783681365e-01,-7.500005536025091679e-01,4.000053243378511314e-01,1.698545583470929266e-01,-5.199914253686216403e-01,2.998210946956010314e-01
1.900000000000000994e-02,-3.499954863902448587e-01,-7.500005509070746257e-01,4.000053226833295006e-01,1.698324937563440995e-01,-5.199896520069883232e-01,2.997936422350052643e-01
2.000000000000001082e-02,-3.499954737670236682e-01,-7.500005479210544168e-01,4.000053208486172296e-01,1.698089825094477590e-01,-5.199877335087866870e-01,2.997644363193878725e-01
2.100000000000001171e-02,-3.499954598490761515e-01,-7.500005446305818557e-01,4.000053188249449443e-01,1.697838748903502393e-01,-5.199856504831100734e-01,2.997333037052044569e-01
2.200000000000001260e-02,-3.499954445769866695e-01,-7.500005410218396618e-01,4.000053166035749674e-01,1.697570218287426658e-01,-5.199833836247654828e-01,2.997000715485128031e-01
2.300000000000001349e-02,-3.499954278915078931e-01,-7.500005370810471916e-01,4.000053141757953790e-01,1.697284227894040598e-01,-5.199809309936602730e-01,2.996647409434533005e-01
2.400000000000001438e-02,-3.499954097335250536e-01,-7.500005327944531119e-01,4.000053115329147979e-01,1.696982283552668225e-01,-5.199783083853545262e-01,2.996274901156550374e-01
2.500000000000001527e-02,-3.499953900440203047e-01,-7.500005281483234088e-01,4.000053086662581636e-01,1.696665885321230749e-01,-5.199755316414060857e-01,2.995884965317449078e-01
2.600000000000001615e-02,-3.499953687640445232e-01,-7.500005231289359475e-01,4.000053055671618507e-01,1.696333538694206056e-01,-5.199725815989957312e-01,2.995475859825907916e-01
2.700000000000001704e-02,-3.499953458346872770e-01,-7.500005177225722575e-01,4.000053022269707270e-01,1.695983755832408957e-01,-5.199694391420488504e-01,2.995045846985704419e-01
2.800000000000001793e-02,-3.499953211970527889e-01,-7.500005119155119804e-01,4.000052986370341013e-01,1.695616551960464069e-01,-5.199661027784614475e-01,2.994594951276982053e-01
2.900000000000001882e-02,-3.499952947922368995e-01,-7.500005056940264314e-01,4.000052947887027255e-01,1.695233433611113283e-01,-5.199625885942348313e-01,2.994124947606555676e-01
3.000000000000001971e-02,-3.499952665613068614e-01,-7.500004990443732700e-01,4.000052906733259084e-01,1.694835901333180406e-01,-5.199589127159400803e-01,2.993637603820076265e-01
3.100000000000002059e-02,-3.499952364452824094e-01,-7.500004919527923919e-01,4.000052862822489619e-01,1.694422463464382300e-01,-5.199550560825535461e-01,2.993131170214325398e-01
3.200000000000002148e-02,-3.499952043851192185e-01,-7.500004844055019326e-01,4.000052816068112582e-01,1.693991740416253555e-01,-5.199509200548264598e-01,2.992604480035558900e-01
3.300000000000002237e-02,-3.499951703216939158e-01,-7.500004763886941594e-01,4.000052766383427327e-01,1.693543840814442647e-01,-5.199464316688888754e-01,2.992058068221072897e-01
3.400000000000002326e-02,-3.499951341957907025e-01,-7.500004678885314746e-01,4.000052713681647720e-01,1.693080270833220435e-01,-5.199416077734743125e-01,2.991493701001347594e-01
3.500000000000002415e-02,-3.499950959480890300e-01,-7.500004588911451942e-01,4.000052657875846074e-01,1.692602530485025347e-01,-5.199364652299852674e-01,2.990913138189213449e-01
3.600000000000002504e-02,-3.499950555191517210e-01,-7.500004493826308849e-01,4.000052598878973686e-01,1.692109320237798198e-01,-5.199308418267191145e-01,2.990315665504372777e-01
