algorithm,speed_mps,position_noise_std_m,category,plant_integrator,valid_complete,minimum_clearance_m,minimum_clearance_time_s,goal_reached_time_s,collision_free,position_only_audit_passed,position_measurement_sha256,coverage_fraction
facbf_adaptive,0.4,0.006,S,Euler,True,0.08019199644832772,2.2600000000000002,5.295,True,True,4db1f03b025477a987e4b1045bf632706f80436470ff0dfbc3c9dce1c901abc6,0.99975
fasm,0.4,0.006,S,implicitfast,True,0.14420429759240008,2.295,3.975,True,True,4db1f03b025477a987e4b1045bf632706f80436470ff0dfbc3c9dce1c901abc6,0.998
neo,0.4,0.006,S,Euler,True,0.048601416647941376,2.14,3.325,True,True,4db1f03b025477a987e4b1045bf632706f80436470ff0dfbc3c9dce1c901abc6,0.99975
mppi,0.4,0.006,C,Euler,True,-0.0061288399695763884,1.225,2.7,False,True,4db1f03b025477a987e4b1045bf632706f80436470ff0dfbc3c9dce1c901abc6,1.0
ds,0.4,0.006,P,Euler,True,0.01746730091436703,2.055,4.26,True,True,4db1f03b025477a987e4b1045bf632706f80436470ff0dfbc3c9dce1c901abc6,0.9999499999999999
facbf_adaptive,1.2,0.006,S,Euler,True,0.12075466280569602,0.785,3.025,True,True,07760fadafaf0e49c134ffae1e13fc52394d736c4c87a80ba8f8ff35575b8760,0.99975
fasm,1.2,0.006,C,implicitfast,True,-0.011302346915504989,0.68,8.225,False,True,07760fadafaf0e49c134ffae1e13fc52394d736c4c87a80ba8f8ff35575b8760,0.998
neo,1.2,0.006,S,Euler,True,0.13520656447992022,0.925,3.92,True,True,07760fadafaf0e49c134ffae1e13fc52394d736c4c87a80ba8f8ff35575b8760,0.99975
mppi,1.2,0.006,S,Euler,True,0.069281617550742,0.655,1.175,True,True,07760fadafaf0e49c134ffae1e13fc52394d736c4c87a80ba8f8ff35575b8760,1.0
ds,1.2,0.006,S,Euler,True,0.023928819218687752,0.6950000000000001,4.44,True,True,07760fadafaf0e49c134ffae1e13fc52394d736c4c87a80ba8f8ff35575b8760,0.9999499999999999
